北京大学	Peking University
长沙商贸旅游职业技术学院	Changsha Vocational College of Commerce and Tourism
邵阳职业技术学院	Shaoyang vocational and Technical College
湖南对外经济贸易职业学院	Hunan Vocational College of foreign economics and trade
湖南生物与机电工程职业技术学院	Hunan Institute of biology and electromechanical engineering
湖南科技工业职业技术学院	Hunan Polytechnic of science, technology and Industry
肇庆医学高等专科学校	zhaoqing medical college
广州工程技术职业学院	Guangzhou Vocational College of engineering and technology
珠海城市职业技术学院	Zhuhai City Polytechnic
广州铁路职业技术学院	Guangzhou Railway Vocational and Technical College
广州体育职业技术学院	Guangzhou Institute of Physical Education
江门职业技术学院	Jiangmen vocational and Technical College
广东科贸职业学院	Guangdong Vocational College of science and trade
茂名职业技术学院	Maoming vocational and Technical College
中山职业技术学院	Zhongshan vocational and Technical College
广州科技贸易职业学院	Guangzhou Vocational College of technology and trade
中山火炬职业技术学院	Zhongshan Torch Polytechnic
广东理工职业学院	Guangdong Polytechnic
广州城市职业学院	Guangzhou City Vocational College
广东体育职业技术学院	Guangdong Institute of Physical Education
广东食品药品职业学院	Guangdong food and Drug Vocational College
河池职业学院	Hechi Vocational College
北海职业学院	Beihai Vocational College
广西电力职业技术学院	Guangxi Electric Power Vocational and Technical College
广西工业职业技术学院	Guangxi Institute of Technology
贵港职业学院	Guigang Vocational College
柳州运输职业技术学院	Liuzhou Transportation Vocational and Technical College
广西工商职业技术学院	Guangxi Vocational College of industry and Commerce
百色职业学院	Baise Vocational College
柳州城市职业学院	Liuzhou City Vocational College
广西理工职业技术学院	Guangxi Institute of Technology
梧州职业学院	Wuzhou Vocational College
海南软件职业技术学院	Hainan software vocational and Technical College
海南科技职业学院	Hainan Vocational College of science and technology
重庆三峡医药高等专科学校	Chongqing Three Gorges Medical College
重庆医药高等专科学校	Chongqing Medical And Pharmaceutical College
重庆城市管理职业学院	Chongqing City Management College
重庆城市职业学院	Chongqing City Vocational College
重庆青年职业技术学院	Chongqing Youth Vocational and Technical College
重庆机电职业技术学院	Chongqing Institute of mechanical and electrical technology
重庆工商职业学院	Chongqing Vocational College of business and Industry
重庆水利电力职业技术学院	chongqing water resources and electric engineering college
重庆工贸职业技术学院	Chongqing Industry & Trade Polytechnic
重庆电子工程职业学院	Chongqing College of Electronic Engineering
重庆财经职业学院	Chongqing Vocational College of Finance and Economics
重庆科创职业学院	chongqing creation vocational college
重庆建筑工程职业学院	Chongqing Vocational College of Architectural Engineering
四川中医药高等专科学校	Sichuan College of traditional Chinese Medicine
内江职业技术学院	Neijiang vocational and Technical College
成都职业技术学院	Chengdu Polytechnic
四川管理职业学院	Sichuan Vocational College of management
四川邮电职业技术学院	Sichuan Vocational College of Posts and Telecommunications
四川化工职业技术学院	Sichuan Institute of Chemical Technology
四川水利职业技术学院	sichuan water conservancy vocational college
四川文化产业职业学院	Sichuan Vocational College of Cultural Industries
四川司法警官职业学院	Sichuan Judicial Police Vocational College
四川信息职业技术学院	sichuan information technology college
广安职业技术学院	Guang'an vocational and Technical College
四川商务职业学院	Sichuan Vocational College of business
四川财经职业学院	Sichuan Vocational College of Finance and Economics
四川艺术职业学院	Sichuan Art Vocational College
四川城市职业学院	Sichuan city vocational college
四川现代职业学院	Sichuan Modern Vocational College
遵义医药高等专科学校	Zunyi Medical College
贵阳护理职业学院	guiyang nursing vocational college
黔西南民族职业技术学院	Qianxinan vocational and technical college for Nationalities
贵州轻工职业技术学院	Guizhou Light Industry Technical College
贵阳职业技术学院	Guiyang vocational and Technical College
毕节职业技术学院	Bijie vocational and Technical College
云南医学高等专科学校	Yunnan Medical College
保山中医药高等专科学校	Baoshan College of traditional Chinese Medicine
曲靖医学高等专科学校	Qujing Medical College
楚雄医药高等专科学校	Chuxiong Medical College
临沧师范高等专科学校	Lincang Teachers College
德宏师范高等专科学校	Dehong Teachers College
丽江师范高等专科学校	Lijiang Teachers College
云南林业职业技术学院	yunnan forestry technological college
云南体育运动职业技术学院	yunnan sports vocational college
云南文化艺术职业学院	Yunnan Vocational College of culture and art
云南热带作物职业学院	Yunnan Tropical Crop Vocational College
云南机电职业技术学院	Yunnan electromechanical vocational and Technical College
云南国防工业职业技术学院	Yunnan national defense industry vocational and Technical College
云南锡业职业技术学院	Yunnan Tin Industry Vocational and Technical College
拉萨师范高等专科学校	Lhasa Teachers College
西藏警官高等专科学校	Tibet Police Academy
西藏职业技术学院	Tibet vocational and Technical College
延安职业技术学院	Yan'an vocational and Technical College
汉中职业技术学院	Hanzhong vocational and Technical College
商洛职业技术学院	Shangluo vocational and Technical College
西安职业技术学院	Xi'an Vocational and Technical College
咸阳职业技术学院	Xianyang vocational and Technical College
陕西经济管理职业技术学院	Shaanxi Vocational College of economic management
宝鸡职业技术学院	baoji vocational technology college
陕西航空职业技术学院	Shaanxi aviation vocational and Technical College
陕西铁路工程职业技术学院	Shaanxi Railway Engineering Vocational and Technical College
陕西纺织服装职业技术学院	Shaanxi Textile and Garment Institute
铜川职业技术学院	Tongchuan vocational and Technical College
安康职业技术学院	Ankang Vocational Technical College
渭南职业技术学院	Weinan vocational and Technical College
张掖医学高等专科学校	Zhangye Medical College
平凉医学高等专科学校	pingliang medical college
陇南师范高等专科学校	Longnan Teachers College
定西师范高等专科学校	dingxi teachers college
甘肃农业职业技术学院	Gansu Agricultural Vocational and Technical College
甘肃畜牧工程职业技术学院	Gansu Animal Husbandry Engineering Vocational and Technical College
兰州资源环境职业技术学院	lanzhou resources and environment voc-tech college
甘肃交通职业技术学院	Gansu communications vocational and Technical College
武威职业学院	wuwei occupational college
甘肃钢铁职业技术学院	Gansu Institute of iron and Steel Technology
青海卫生职业技术学院	Qinghai health vocational and Technical College
宁夏民族职业技术学院	Ningxia Vocational College for Nationalities
宁夏工商职业技术学院	Ningxia Vocational College of industry and Commerce
新疆兵团警官高等专科学校	Xinjiang corps Police Officer College
新疆石河子职业技术学院	Xinjiang Shihezi Vocational College
新疆交通职业技术学院	Xinjiang communications vocational and Technical College
新疆职业大学	xinjiang vocational university
天津商业大学宝德学院	Baode College of Tianjin University of Commerce
大连工业大学艺术与信息工程学院	School of art and information engineering, Dalian University of Technology
辽宁科技大学信息技术学院	School of information technology, Liaoning University of science and technology
辽宁医学院医疗学院	Medical College of Liaoning Medical College
黑龙江工程学院昆仑旅游学院	Kunlun Institute of tourism, Heilongjiang Institute of Engineering
上海视觉艺术学院	Shanghai Institute of Visual Arts
杭州师范大学钱江学院	Qianjiang College of Hangzhou Normal University
东华理工大学长江学院	Changjiang college, Donghua University of Technology
青岛农业大学海都学院	Haidu College of Qingdao Agricultural University
华中师范大学武汉传媒学院	Wuhan school of media, central China Normal University
西南大学育才学院	Yucai College of Southwest University
云南艺术学院文华学院	Wenhua College of Yunnan Art Institute
新疆财经大学商务学院	Business School of Xinjiang University of Finance and Economics
北京科技大学延庆分校	Yanqing Branch of Beijing University of science and technology
张家口学院	Zhangjiakou University
江苏职工医科大学	Jiangsu staff Medical University
浙江工业大学浙西分校	Zhejiang University of Technology
安徽经济管理干部学院	Anhui Economic Management Cadre College
福建政法管理干部学院	Fujian Institute of political science and law management
新余钢铁有限责任公司职工大学	Staff University of Xinyu Iron and Steel Co., Ltd
南昌钢铁有限责任公司职工大学	Staff University of Nanchang Iron and Steel Co., Ltd
山东省聊城教育学院	Shandong Liaocheng Institute of Education
长沙教育学院	Changsha Institute of Education
湘潭教育学院	Xiangtan Institute of Education
广西壮族自治区经济管理干部学院	Economic Management Cadre College of Guangxi Zhuang Autonomous Region
广西壮族自治区卫生管理干部学院	Guangxi Zhuang Autonomous Region Health Management Cadre College
中国工程物理研究院职工工学院	Faculty of engineering, China Academy of Engineering Physics
北京劳动保障职业学院	Beijing Vocational College of labor and social security
北京社会管理职业学院	Beijing Vocational College of social management
天津工艺美术职业学院	Tianjin Vocational College of Arts and crafts
天津艺术职业学院	Tianjin Art Vocational College
天津国土资源和房屋职业学院	Tianjin Vocational College of land resources and housing
河北机电职业技术学院	Hebei electromechanical vocational and Technical College
河北司法警官职业学院	Hebei Judicial Police Vocational College
廊坊职业技术学院	Langfang vocational and Technical College
河北公安警察职业学院	Hebei police vocational college
河北通信职业技术学院	Hebei Communication Vocational and Technical College
河北女子职业技术学院	hebei women's vocational college
河北旅游职业学院	Hebei Tourism Vocational College
冀中职业学院	Jizhong Vocational College
石家庄科技工程职业学院	Shijiazhuang Vocational College of science and Technology Engineering
太原电力高等专科学校	Taiyuan electric power College
运城幼儿师范高等专科学校	Yuncheng Kindergarten Teachers College
山西省财政税务专科学校	Shanxi Finance and Taxation College
晋中职业技术学院	Jinzhong vocational and Technical College
山西运城农业职业技术学院	Shanxi Yuncheng Agricultural Vocational and Technical College
太原旅游职业学院	Taiyuan Tourism Vocational College
山西管理职业学院	Shanxi Management Vocational College
潞安职业技术学院	Lu'an vocational and Technical College
山西金融职业学院	Shanxi Vocational College of Finance
山西体育职业学院	Shanxi Sports Vocational College
山西警官职业学院	Shanxi Police Officer Vocational College
山西国际商务职业学院	Shanxi International Business Vocational College
忻州职业技术学院	Xinzhou Vocational College
山西经贸职业学院	Shanxi Vocational College of economics and trade
朔州职业技术学院	Shuozhou vocational and Technical College
包头钢铁职业技术学院	Baotou Iron and steel vocational and Technical College
锡林郭勒职业学院	Xilingol Vocational College
内蒙古交通职业技术学院	Inner Mongolia communications vocational and Technical College
科尔沁艺术职业学院	Horqin Art Vocational College
通辽职业学院	Tongliao Vocational College
内蒙古电子信息职业技术学院	Inner Mongolia Electronic Information Vocational Technical College
乌兰察布职业学院	Ulanqab Vocational College
乌海职业技术学院	Wuhai vocational and Technical College
内蒙古机电职业技术学院	Inner Mongolia electromechanical vocational and Technical College
内蒙古化工职业学院	Inner Mongolia Vocational College of Chemical Engineering
内蒙古商贸职业学院	inner mongolia business vocational college
包头铁道职业技术学院	Baotou Railway Vocational and Technical College
辽宁装备制造职业技术学院	Liaoning equipment manufacturing vocational and Technical College
辽河石油职业技术学院	Liaohe Petroleum Vocational and Technical College
辽宁职业学院	Liaoning Vocational College
辽宁地质工程职业学院	Liaoning Geology Engineering Vocational College
辽宁铁道职业技术学院	Liaoning Railway Vocational and Technical College
辽宁建筑职业技术学院	Liaoning Vocational College of Architecture
松原职业技术学院	Songyuan vocational and Technical College
吉林铁道职业技术学院	Jilin Railway Vocational and Technical College
白城职业技术学院	Baicheng vocational and Technical College
长白山职业技术学院	Changbaishan vocational and Technical College
齐齐哈尔高等师范专科学校	Qiqihar Teachers College
黑龙江幼儿师范高等专科学校	Heilongjiang Preschool Education College
黑龙江生物科技职业学院	Heilongjiang biotechnology Vocational College
黑龙江民族职业学院	Heilongjiang Vocational College for Nationalities
七台河职业学院	qitaihe vocational college
黑龙江信息技术职业学院	Heilongjiang Information Technology Vocational College
黑龙江农垦林业职业技术学院	Heilongjiang Agricultural Reclamation Forestry Vocational and Technical College
黑龙江公安警官职业学院	Heilongjiang Police Officer Vocational College
黑龙江农垦农业职业技术学院	Heilongjiang Nongken Agricultural Vocational and Technical College
黑龙江商业职业学院	Heilongjiang Vocational College of Commerce
黑龙江旅游职业技术学院	Heilongjiang Institute of Tourism Technology
黑龙江煤炭职业技术学院	Heilongjiang coal vocational and Technical College
黑龙江交通职业技术学院	Heilongjiang communications vocational and Technical College
哈尔滨科学技术职业学院	Harbin Vocational College of science and technology
黑龙江粮食职业学院	Heilongjiang grain Vocational College
佳木斯职业学院	Jiamusi Vocational College
上海健康医学院	Shanghai College of health medicine
上海旅游高等专科学校	Shanghai Institute of Tourism
上海工艺美术职业学院	Shanghai Vocational College of Arts and crafts
上海工会管理职业学院	Shanghai Vocational College of trade union management
上海体育职业学院	Shanghai Sports Vocational College
苏州职业大学	Suzhou vocational University
南通农业职业技术学院	Nantong Agricultural Vocational and Technical College
无锡科技职业学院	Wuxi Vocational College of science and technology
南京铁道职业技术学院	Nanjing Institute of Railway Technology
江苏联合职业技术学院	Jiangsu United vocational and Technical College
无锡工艺职业技术学院	Wuxi Polytechnic of Technology
南京机电职业技术学院	Nanjing Institute of mechanical and electrical technology
无锡城市职业技术学院	City College of Vocational Technology
扬州环境资源职业技术学院	Yangzhou Vocational College of environmental resources
健雄职业技术学院	Jianxiong Vocational and Technical College
江苏财经职业技术学院	Jiangsu Vocational College of Finance and Economics
苏州工业职业技术学院	suzhou institute of industrial technology
盐城纺织职业技术学院	Yancheng Textile Vocational and Technical College
扬州工业职业技术学院	yangzhou polytechnic institute
江苏城市职业学院	Jiangsu City Vocational College
苏州卫生职业技术学院	Suzhou health vocational and Technical College
盐城卫生职业技术学院	Yancheng health vocational and Technical College
苏州高博软件技术职业学院	Suzhou Gaobo Software Technology Vocational College
南京旅游职业学院	Nanjing vocational college of Tourism
浙江医学高等专科学校	zhejiang medical college
金华职业技术学院	Jinhua Vocational and Technical College
浙江国际海运职业技术学院	Zhejiang International Maritime College
宁波城市职业技术学院	Ningbo City Polytechnic
浙江纺织服装职业技术学院	Zhejiang textile and garment vocational and Technical College
宁波天一职业技术学院	Ningbo Tianyi vocational and Technical College
浙江同济科技职业学院	Zhejiang Tongji Vocational College of science and technology
浙江邮电职业技术学院	Zhejiang Vocational College of Posts and Telecommunications
浙江体育职业技术学院	Zhejiang Institute of Physical Education
浙江电力职业技术学院	Zhejiang Electric Power Vocational and Technical College
台州科技职业学院	Taizhou Vocational College of science and technology
温州科技职业学院	Wenzhou Vocational College of science and technology
安庆医药高等专科学校	Anqing Medical and Pharmaceutical College
安徽工业职业技术学院	Anhui Institute of Technology
安徽工商职业学院	anhui business vocational college
安徽邮电职业技术学院	Anhui Vocational College of Posts and Telecommunications
安徽艺术职业学院	Anhui art vocational college
安徽国防科技职业学院	Anhui Vocational College of national defense science and technology
安徽林业职业技术学院	Anhui forestry vocational and Technical College
安徽新闻出版职业技术学院	Anhui Vocational College of press and publication
安徽财贸职业学院	Anhui Vocational College of Finance and trade
安徽电气工程职业技术学院	Anhui Electrical Engineering Professional Technique College
安庆职业技术学院	Anqing Vocational and Technical College
安徽公安职业学院	Anhui public security Vocational College
芜湖信息技术职业学院	Wuhu Information Technology Vocational College
安徽国际商务职业学院	Anhui Institute of International Business
马鞍山职业技术学院	Ma'anshan vocational and Technical College
徽商职业学院	Huishang Vocational College
安徽旅游职业学院	Tourism College of Anhui
安徽冶金科技职业学院	Anhui Metallurgical Technology Vocational College
安徽机电职业技术学院	Anhui electromechanical vocational and Technical College
安徽审计职业学院	Anhui auditing Vocational College
亳州职业技术学院	Bozhou vocational and Technical College
安徽中澳科技职业学院	Anhui Zhong-Ao Institute of Technology
泉州医学高等专科学校	Quanzhou Medical College
厦门医学高等专科学校	Xiamen Medical College
泉州工艺美术职业学院	Quanzhou Vocational College of Arts and crafts
厦门城市职业学院	Xiamen City University
福建警官职业学院	Fujian Police Officer Vocational College
福建生物工程职业技术学院	Fujian bioengineering vocational and Technical College
福建艺术职业学院	Fujian Art Vocational College
福建体育职业技术学院	Fujian Institute of Physical Education
宁德职业技术学院	Ningde vocational and Technical College
泉州经贸职业技术学院	Quanzhou Economic and Trade Vocational and Technical College
闽西职业技术学院	Minxi Vocational and Technical College
三明职业技术学院	sanming vocational technical college
湄洲湾职业技术学院	Meizhouwan vocational and Technical College
漳州卫生职业学院	Zhangzhou Health Vocational College
天津天狮学院	Tianjin Tianshi University
保定学院	Baoding University
上海海洋大学	Shanghai Ocean University
上海海关学院	Shanghai Customs College
浙江警察学院	Zhejiang Police College
宁波大红鹰学院	Ningbo Dahongying University
浙江越秀外国语学院	Zhejiang Yuexiu Foreign Language College
合肥师范学院	Hefei Normal University
池州学院	Chizhou University
蚌埠学院	Bengbu College
安徽三联学院	ANHUI SANLIAN university
福建警察学院	Fujian Police College
闽南理工学院	Minnan Institute of Technology
武夷学院	Wuyi University
齐鲁医药学院	Qilu Medical College
潍坊科技学院	Weifang Institute of science and technology
山东英才学院	Shandong Yingcai University
河南工程学院	Henan Institute of Engineering
郑州华信学院	zhengzhou huaxin college
郑州科技学院	Zhengzhou Institute of science and technology
荆楚理工学院	Jingchu Institute of Technology
湖南第一师范学院	Hunan First Normal University
仲恺农业工程学院	Zhongkai Agricultural Engineering College
海口经济学院	Haikou College of Economics
成都学院	Chengdu University
昆明学院	Kunming University
西安思源学院	xi'an siyuan university
陕西国际商贸学院	Shaanxi International Business College
保定电力职业技术学院	Baoding Electric Power Vocational and Technical College
保险职业学院	Insurance Vocational College
北海宏源足球职业学院	Beihai Hongyuan football Vocational College
北京工商大学嘉华学院	Jiahua College of Beijing University of technology and technology
北京工业大学耿丹学院	Gengdan College of Beijing University of Technology
燕京理工学院	Yanjing Institute of Technology
北京汇佳职业学院	Beijing Huijia Vocational College
北京交通职业技术学院	Beijing Jiaotong Polytechnic
北京科技大学天津学院	Tianjin College of Beijing University of science and technology
北京科技职业学院	Beijing Vocational College of science and technology
北京理工大学珠海学院	Zhuhai College of Beijing University of Technology
北京培黎职业学院	beijing bailie university
北京现代职业技术学院	Beijing Modern Vocational and Technical College
北京邮电大学世纪学院	Century College of Beijing University of Posts and Telecommunications
北京中医药大学东方学院	Oriental College of Beijing University of traditional Chinese Medicine
长春理工大学光电信息学院	School of optoelectronic information, Changchun University of Technology
长春财经学院	Changchun University of Finance and Economics
长江大学工程技术学院	College of engineering and technology, Changjiang University
长江工程职业技术学院	Changjiang College of Engineering Technology
长沙理工大学城南学院	Chengnan college, Changsha University of Technology
长沙医学院	Changsha Medical College
成都东软信息技术职业学院	Chengdu Neusoft Institute of Information
成都理工大学广播影视学院	School of radio, film and television, Chengdu University of Technology
大连交通大学信息工程学院	School of information engineering, Dalian Jiaotong University
电子科技大学成都学院	Chengdu College of UESTC
大连财经学院	Dalian University of Finance and Economics
东北大学东软信息学院	Neusoft School of information, Northeastern University
黑龙江工商学院	Heilongjiang Institute of technology and Industry
鄂东职业技术学院	Edong vocational and Technical College
广西经贸职业技术学院	Guangxi Economic and Trade College
广州南洋理工职业学院	Guangzhou Nanyang College
桂林电子科技大学信息科技学院	School of information technology, Guilin University of Electronic Science and technology
哈尔滨师范大学恒星学院	Xingxing College of Harbin Normal University
河北大学工商学院	Business School of Hebei University
河北理工大学轻工学院	College of light industry, Hebei University of Technology
河北传媒学院	Hebei Media College
河南大学民生学院	Henan University Minsheng College
河南科技学院新科学院	New Science College of Henan University of science and technology
黑龙江北开职业技术学院	Heilongjiang beikai vocational and Technical College
黑龙江三江美术职业学院	Heilongjiang Sanjiang Art Vocational College
湖北国土资源职业学院	Hubei Land Resources Vocational College
湖北三峡职业技术学院	Hubei Three Gorges Vocational and Technical College
湖北职业技术学院	hubei polytechnic institute
湖南工业大学科技学院	College of science and technology, Hunan University of Technology
湖南科技大学潇湘学院	Xiaoxiang College of Hunan University of science and technology
湖南涉外经济学院	Hunan International Economics College
华北电力大学科技学院	School of science and technology, North China Electric Power University
华北煤炭医学院冀唐学院	Jitang college, North China Coal Medical College
华南师范大学增城学院	Zengcheng college, South China Normal University
文华学院	Wenhua College
吉林大学珠海学院	Zhuhai College of Jilin University
吉林建筑工程学院建筑装饰学院	School of architectural decoration, Jilin Institute of Architectural Engineering
长春科技学院	Changchun University of science and technology
集美大学诚毅学院	Chengyi College of Jimei University
江苏大学京江学院	Jingjiang College of Jiangsu University
江苏科技大学南徐学院	Nanxu College of Jiangsu University of science and technology
江西财经大学现代经济管理学院	School of modern economics and management, Jiangxi University of Finance and Economics
江西大宇职业技术学院	Jiangxi Dayu vocational and Technical College
江西服装职业技术学院	Jiangxi Institute of Fashion Technology
江西赣江职业技术学院	Jiangxi Ganjiang vocational and Technical College
江西工业贸易职业技术学院	Jiangxi Polytechnic of industry and trade
江西建设职业技术学院	Jiangxi construction vocational and Technical College
江西理工大学应用科学学院	College of Applied Science, Jiangxi University of Technology
江西外语外贸职业学院	Jiangxi Vocational College of foreign languages and foreign trade
江西中医学院科技学院	College of science and technology, Jiangxi University of traditional Chinese Medicine
景德镇陶瓷学院科技艺术学院	School of science and art, Jingdezhen Ceramic Institute
昆明医学院海源学院	Haiyuan College of Kunming Medical College
辽宁对外经贸学院	Liaoning Institute of foreign trade and economic cooperation
辽宁科技学院	Liaoning University of science and technology
辽宁石油化工大学顺华能源学院	Shunhua energy College of Liaoning University of petroleum and Chemical Technology
南昌大学共青学院	Gongqing College of Nanchang University
南昌大学科学技术学院	School of science and technology, Nanchang University
南昌航空大学科技学院	School of science and technology, Nanchang Aeronautical University
南昌理工学院	Nanchang Institute of Technology
南充职业技术学院	Nanchong vocational and Technical College
南华大学船山学院	Chuanshan college, Nanhua University
南京工业大学浦江学院	Pujiang College of Nanjing University of Technology
南京航空航天大学金城学院	Jincheng College of Nanjing University of Aeronautics and Astronautics
南京审计学院金审学院	Nanjing Institute of audit
南京师范大学泰州学院	Nanjing Normal University Taizhou College
南京信息工程大学滨江学院	Binjiang College of Nanjing University of information technology
南京邮电大学通达学院	Tongda College of Nanjing University of Posts and Telecommunications
南开大学滨海学院	Nankai University Binhai College
青岛港湾职业技术学院	Qingdao harbor vocational and Technical College
青岛恒星职业技术学院	Qingdao Xingxing vocational and Technical College
三亚航空旅游职业学院	Sanya Aviation Tourism Vocational College
山西财经大学华商学院	Chinese Business School of Shanxi University of Finance and Economics
山西旅游职业学院	Shanxi Tourism Vocational College
陕西电子信息职业技术学院	Shaanxi Electronic Information Institute
上海电影艺术职业学院	Shanghai Film Art Vocational College
上海工商外国语职业学院	Shanghai Industrial and Commercial Foreign Language Vocational College
上海托普信息技术职业学院	Shanghai Top Information Technology Vocational College
沈阳大学科技工程学院	College of science and technology and engineering, Shenyang University
沈阳工程学院	Shenyang Institute of Engineering
石家庄经济学院华信学院	Huaxin College of Shijiazhuang Institute of Economics
石家庄铁道学院四方学院	Sifang College of Shijiazhuang Railway University
河北外国语学院	Hebei Institute of foreign languages
石家庄医学高等专科学校	Shijiazhuang medical college
石家庄邮电职业技术学院	Shijiazhuang Vocational College of Posts and Telecommunications
四川航天职业技术学院	Sichuan Aerospace College of Vocational Technology
四川外语学院重庆南方翻译学院	Chongqing Nanfang Translators College of SISU
苏州经贸职业技术学院	Suzhou economic and Trade College
太原理工大学现代科技学院	School of modern science and technology, Taiyuan University of Technology
天津石油职业技术学院	Tianjin Institute of Petroleum Technology
天津医科大学临床医学院	School of clinical medicine, Tianjin Medical University
武汉交通职业学院	Wuhan Transportation Vocational College
武汉理工大学华夏学院	Huaxia College of Wuhan University of Technology
武汉民政职业学院	Wuhan civil affairs Vocational College
武汉铁路职业技术学院	wuhan railway vocational college of technology
西安财经学院行知学院	Xingzhi College of Xi'an University of Finance and Economics
西安海棠职业学院	Xi'an Haitang Vocational College
西安培华学院	xi'an peihua university
西北工业大学明德学院	Mingde College of Northwest Polytechnic University
厦门大学嘉庚学院	Jiageng College of Xiamen University
厦门演艺职业学院	Xiamen Vocational College of performing arts
云南大学旅游文化学院	School of tourism and culture, Yunnan University
云南科技信息职业学院	Yunnan Vocational College of science and technology information
云南师范大学商学院	Yunnan Normal University Business School
云南师范大学文理学院	College of Arts and science, Yunnan Normal University
浙江传媒学院	Zhejiang Media College
郑州财经学院	Zhengzhou University of Finance and Economics
中北大学信息商务学院	School of information and business, North China University
中国传媒大学南广学院	Communication University of China Nanguang College
中国地质大学长城学院	Great Wall college, China University of Geosciences
武汉工程科技学院	Wuhan Institute of engineering and technology
中国环境管理干部学院	China Environmental Management Cadre College
中国矿业大学徐海学院	Xuhai College of China University of mining and technology
中国医科大学临床医药学院	School of clinical medicine, China Medical University
中南民族大学工商学院	Business School of South Central University for Nationalities
重庆工商大学派斯学院	Pais College of Chongqing University of technology and technology
重庆工商大学融智学院	Rongzhi College of Chongqing University of technology and technology
云南警官学院	Yunnan Police Academy
湖南人文科技学院	Hunan Institute of Humanities and technology
安徽农业大学经济技术学院	School of economics and technology, Anhui Agricultural University
上海济光职业技术学院	shanghai jiguang polytechnic college
延安大学西安创新学院	Xi'an innovation college of Yan'an University
江苏海事职业技术学院	Jiangsu Maritime Institute
河北农业大学现代科技学院	College of modern science and technology, Hebei Agricultural University
哈尔滨商业大学德强商务学院	Deqiang Business School of Harbin Commercial University
海南经贸职业技术学院	Hainan College of Economics and Business
大连软件职业学院	dalian software vocational college
天津海运职业学院	Tianjin Maritime Vocational College
山东经济学院燕山学院	Yanshan College of Shandong University of Economics
济南工程职业技术学院	Jinan Institute of Engineering Technology
江西科技师范学院理工学院	College of science and technology, Jiangxi Normal University of science and technology
贵州大学科技学院	College of science and technology, Guizhou University
安徽建筑工业学院城市建设学院	Urban Construction College of Anhui Institute of architecture and technology
贵阳医学院神奇民族医药学院	Magic Ethnic Medicine College of Guiyang Medical College
琼台师范高等专科学校	qiongtai teachers college
昆明理工大学津桥学院	Jinqiao college, Kunming University of science and technology
西北师范大学知行学院	Zhixing College of Northwest Normal University
河北科技大学理工学院	College of science and technology, Hebei University of science and technology
天津大学仁爱学院	Renai College of Tianjin University
中南林业科技大学涉外学院	School of foreign affairs, Central South University of forestry science and technology
武汉生物工程学院	wuhan bioengineering institute
吉林建筑大学城建学院	School of urban construction, Jilin Jianzhu University
四川外语学院成都学院	Chengdu College of Sichuan University of foreign languages
阜阳科技职业学院	Fuyang Vocational College of science and technology
泉州纺织服装职业学院	quanzhou textile garment institute
广西民族大学相思湖学院	Xiangsihu College of Guangxi University for Nationalities
河北工业大学城市学院	City College of Hebei University of Technology
天津铁道职业技术学院	Tianjin Railway Vocational and Technical College
渤海大学文理学院	College of Arts and science, Bohai University
中国计量大学现代科技学院	School of modern science and technology, China University of Metrology
山东财政学院东方学院	Oriental College of Shandong University of Finance
四川师范大学文理学院	College of Arts and science, Sichuan Normal University
江西先锋软件职业技术学院	Jiangxi Xianfeng software vocational and Technical College
常德职业技术学院	Changde vocational and Technical College
湖北汽车工业学院科技学院	College of science and technology, Hubei Institute of automobile industry
沈阳航空工业学院北方科技学院	North Institute of science and technology, Shenyang Institute of Aeronautical Technology
天津城市建设管理职业技术学院	Tianjin Vocational College of urban construction management
马鞍山师范高等专科学校	Maanshan Teacher's College
西安翻译学院	Xi'an FanYi University
陕西青年职业学院	Shaanxi Youth Vocational college
沈阳工学院	Shenyang Institute of Technology
云南大学滇池学院	Dianchi College of Yunnan University
天津师范大学津沽学院	Tianjin Normal University Jingu College
大连枫叶职业技术学院	Dalian Maple Leaf vocational and Technical College
河北软件职业技术学院	hebei software institute
湖南农业大学东方科技学院	School of Oriental Science and technology, Hunan Agricultural University
沈阳化工学院科亚学院	Keya College of Shenyang Institute of Chemical Technology
永城职业学院	Yongcheng Vocational College
海南政法职业学院	Hainan Vocational College of politics and law
西京学院	xijing university
安徽财经大学商学院	Business School of Anhui University of Finance and Economics
河北医科大学临床学院	Clinical College of Hebei Medical University
广西大学行健文理学院	Xingjian College of Arts and Sciences, Guangxi University
沈阳理工大学应用技术学院	College of applied technology, Shenyang University of Technology
重庆邮电大学移通学院	Yitong College of Chongqing University of Posts and Telecommunications
沈阳师范大学渤海学院	Bohai College of Shenyang Normal University
唐山科技职业技术学院	Tangshan Institute of science and technology
中南财经政法大学武汉学院	Wuhan College of Zhongnan University of Finance and law
福建师范大学协和学院	Union College of Fujian Normal University
武汉工程大学邮电与信息工程学院	School of posts, telecommunications and information engineering, Wuhan University of Technology
成都信息工程学院银杏酒店管理学院	Ginkgo Hotel Management College of Chengdu Institute of Information Engineering
哈尔滨商业大学广厦学院	Guangxia College of Harbin Commercial University
太原科技大学华科学院	School of Chinese medicine, Taiyuan University of science and technology
厦门华天涉外职业技术学院	Xiamen Huatian International Vocational and Technical College
石家庄科技信息职业学院	Shijiazhuang Vocational College of science and technology information
天津冶金职业技术学院	Tianjin metallurgy vocational and Technical College
白城医学高等专科学校	Baicheng Medical College
